ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
1259,Mohammad Tauqir (UAE),2015-2015,3,3, 7.00 ,1,55,0,0,0,7.85,0,0,0
1260,JN Mohammed (WI),2017-2018,9,2, 2.00 ,0,13,0,0,0,6.5,0,0,0
1261,Mohammed Asghar (KUW),2019-2019,4,2, 4.00 ,0,28,0,0,0,7,0,0,0
1262,Mohammed Qasim (UAE),2016-2017,3,1, 1.00 ,0,8,0,0,0,8,0,0,0
1263,HJC Mol (NL),2008-2008,4,1, 1.30 ,0,12,0,0,0,8,0,0,0
1264,Mominul Haque (BDESH),2012-2014,6,2, 3.00 ,0,32,0,0,0,10.66,0,0,0
1265,JWN Moses (Botsw),2019-2019,3,2, 8.00 ,0,46,0,0,0,5.75,0,0,0
1266,Muhammad Asjed (ESP),2019-2019,2,1, 1.00 ,0,9,0,0,0,9,0,0,0
1267,Muhammad Musa (PAK),2019-2019,1,1, 3.50 ,0,39,0,0,0,10.17,0,0,0
1268,Muhammad Naeem (Saudi),2019-2019,5,1, 1.00 ,0,13,0,0,0,13,0,0,0
1269,Muhammed Shanil (UAE),2016-2016,1,1, 4.00 ,0,49,0,0,0,12.25,0,0,0
1270,RG Mukasa (UGA),2019-2019,4,2, 7.00 ,0,40,0,0,0,5.71,0,0,0
1271,Muktar Ali (BDESH),2016-2016,1,1, 2.00 ,0,17,0,0,0,8.5,0,0,0
1272,FF Mulivai (Samoa),2019-2019,4,1, 0.10 ,0,6,0,0,0,36,0,0,0
1273,T Munyonga (ZIM),2019-2019,5,1, 1.00 ,0,3,0,0,0,3,0,0,0
1274,Musawar Shah (QAT),2019-2019,2,2, 3.00 ,0,32,0,0,0,10.66,0,0,0
1275,S Nadigotla (ROM),2019-2019,2,1, 2.00 ,0,10,0,0,0,5,0,0,0
1276,Nanda Kumar (CRC),2019-2019,3,1, 1.00 ,0,10,0,0,0,10,0,0,0
1277,M Nandela (Mex),2019-2019,2,1, 1.00 ,0,13,0,0,0,13,0,0,0
1278,N Nankov (),2019-2019,3,1, 1.00 ,0,15,0,0,0,15,0,0,0
1279,A Nao (PNG),2017-2017,2,2, 5.00 ,0,49,0,0,0,9.8,0,0,0
1280,Nasir Aziz (UAE),2015-2015,1,1, 4.00 ,0,21,0,0,0,5.25,0,0,0
1281,A Natubhai Ahir (PNM),2019-2019,3,3, 6.00 ,0,49,0,0,0,8.16,0,0,0
1282,Nawaf Ahmed (KUW),2019-2019,1,1, 2.00 ,0,16,0,0,0,8,0,0,0
1283,R Nehonde (Botsw),2019-2019,7,5, 13.00 ,0,113,0,0,0,8.69,0,0,0
1284,S Nerandzic (Serb),2019-2019,2,1, 2.00 ,0,26,0,0,0,13,0,0,0
1285,K Nestor (GIBR),2019-2019,4,2, 6.20 ,0,54,0,0,0,8.52,0,0,0
1286,A Nortje (SA),2019-2019,1,1, 3.00 ,0,27,0,0,0,9,0,0,0
1287,J Nyumbu (ZIM),2018-2018,2,2, 6.00 ,0,76,0,0,0,12.66,0,0,0
1288,R Olipa (UGA),2019-2019,2,1, 1.00 ,0,8,0,0,0,8,0,0,0
1289,Omar Hayat (DEN),2019-2019,2,1, 1.00 ,0,11,0,0,0,11,0,0,0
1290,A Orfila (GIBR),2019-2019,1,1, 1.00 ,0,7,0,0,0,7,0,0,0
1291,A Patel (MWI),2019-2019,2,1, 1.00 ,0,19,0,0,0,19,0,0,0
1292,C Pengkumta (THAI),2019-2019,4,4, 7.00 ,0,58,0,0,0,8.28,0,0,0
1293,AK Perera (SL),2013-2019,6,1, 1.00 ,0,17,0,0,0,17,0,0,0
1294,PDRL Perera (SL),2006-2006,2,2, 7.00 ,0,77,0,0,0,11,0,0,0
1295,T Perera (Botsw),2019-2019,6,2, 3.00 ,0,37,0,0,0,12.33,0,0,0
1296,S Periyalwar (ROM),2019-2019,4,1, 0.10 ,0,4,0,0,0,24,0,0,0
1297,V Permaul (WI),2018-2018,1,1, 0.30 ,0,8,0,0,0,16,0,0,0
1298,OL Pitcher (BMUDA),2008-2008,3,1, 1.00 ,0,7,0,0,0,7,0,0,0
1299,C Prasad (CRC),2019-2019,3,1, 2.00 ,0,12,0,0,0,6,0,0,0
1300,KTGD Prasad (SL),2011-2011,1,1, 3.00 ,0,37,0,0,0,12.33,0,0,0
1301,EC Rainsford (ZIM),2010-2010,2,2, 6.00 ,0,67,0,0,0,11.16,0,0,0
1302,Rashid Khan (NEPAL),2019-2019,1,1, 4.00 ,0,19,0,0,0,4.75,0,0,0
1303,Robiul Islam (BDESH),2013-2013,1,1, 1.00 ,0,13,0,0,0,13,0,0,0
1304,R Rohan (SGP),2019-2019,10,1, 1.00 ,0,7,0,0,0,7,0,0,0
1305,GR Russ (PHI),2019-2019,3,2, 3.00 ,0,52,0,0,0,17.33,0,0,0
1306,SE Rutherford (WI),2018-2019,3,1, 3.00 ,0,28,0,0,0,9.33,0,0,0
1307,Saad Nasim (PAK),2014-2014,3,1, 1.00 ,0,12,0,0,0,12,0,0,0
1308,Sajedul Islam (BDESH),2013-2013,1,1, 1.00 ,0,15,0,0,0,15,0,0,0
1309,Sakib Hasan (Serb),2019-2019,2,1, 1.00 ,0,13,0,0,0,13,0,0,0
1310,Saqlain Arshad (QAT),2019-2019,2,1, 1.00 ,0,12,0,0,0,12,0,0,0
1311,Saqlain Sajib (BDESH),2016-2016,1,1, 3.30 ,0,40,0,0,0,11.42,0,0,0
1312,M Sarenac (Serb),2019-2019,2,1, 1.00 ,0,12,0,0,0,12,0,0,0
1313,V Sehwag (INDIA),2006-2012,19,1, 1.00 ,0,20,0,0,0,20,0,0,0
1314,K Senamontree (THAI),2019-2019,2,2, 2.00 ,0,29,0,0,0,14.5,0,0,0
1315,YSD Seneveratne (Caym),2019-2019,6,2, 2.00 ,0,22,0,0,0,11,0,0,0
1316,Shabbir Ahmed (PAK),2007-2007,1,1, 2.00 ,0,19,0,0,0,9.5,0,0,0
1317,JNK Shannon (IRE),2013-2018,8,1, 1.00 ,0,11,0,0,0,11,0,0,0
1318,Shoaib Gazi Hossain (Chile),2019-2019,4,1, 2.00 ,0,23,0,0,0,11.5,0,0,0
1319,P Silas (Botsw),2019-2019,4,1, 1.00 ,0,21,0,0,0,21,0,0,0
1320,KRP Silva (USA),2019-2019,2,1, 2.00 ,0,19,0,0,0,9.5,0,0,0
1321,M Simmons (BMUDA),2019-2019,2,1, 2.10 ,0,21,0,0,0,9.69,0,0,0
1322,GC Smith (SA),2005-2011,33,3, 4.00 ,0,57,0,0,0,14.25,0,0,0
1323,RAJ Smith (SCOT),2019-2019,2,2, 6.50 ,0,66,0,0,0,9.65,0,0,0
1324,JN Snape (ENG),2007-2007,1,1, 1.00 ,0,12,0,0,0,12,0,0,0
1325,Sohaib Maqsood (PAK),2013-2016,20,1, 1.00 ,0,12,0,0,0,12,0,0,0
1326,Soheel Hussain (Belg),2019-2019,1,1, 1.00 ,0,7,0,0,0,7,0,0,0
1327,Sohrawordi Shuvo (BDESH),2010-2010,1,1, 1.00 ,0,12,0,0,0,12,0,0,0
1328,S Sola (Samoa),2019-2019,4,1, 1.00 ,0,9,0,0,0,9,0,0,0
1329,S Soosiyakumar (),2019-2019,1,1, 2.00 ,0,16,0,0,0,8,0,0,0
1330,TJ Stephenson (Blz),2019-2019,1,1, 1.00 ,0,11,0,0,0,11,0,0,0
1331,Suresh Kumar (Peru),2019-2019,2,2, 4.00 ,0,35,0,0,0,8.75,0,0,0
1332,T Taibu (ZIM),2007-2012,17,2, 4.00 ,0,41,0,0,0,10.25,0,0,0
1333,Tarun Sharma (Mex),2019-2019,8,1, 1.00 ,0,14,0,0,0,14,0,0,0
1334,J Thinley (BHU),2019-2019,2,2, 3.00 ,0,25,0,0,0,8.33,0,0,0
1335,S Tobgay (BHU),2019-2019,2,1, 4.00 ,0,50,0,0,0,12.5,0,0,0
1336,T Tshose (Botsw),2019-2019,2,1, 2.00 ,0,12,0,0,0,6,0,0,0
1337,TE Tucker (BMUDA),2008-2008,1,1, 2.00 ,0,5,0,0,0,2.5,0,0,0
1338,S Tyagi (INDIA),2009-2009,1,1, 2.00 ,0,21,0,0,0,10.5,0,0,0
1339,HER Tyler (PHI),2019-2019,2,2, 6.00 ,0,48,0,0,0,8,0,0,0
1340,E Ul Haq (NOR),2019-2019,5,1, 0.10 ,0,4,0,0,0,24,0,0,0
1341,R Ulutuna (TKY),2019-2019,4,1, 1.00 ,0,11,0,0,0,11,0,0,0
1342,S Vesawkar (NEPAL),2014-2019,17,1, 3.00 ,0,25,0,0,0,8.33,0,0,0
1343,JK Vifah (Ghana),2019-2019,3,1, 1.10 ,0,8,0,0,0,6.85,0,0,0
1344,M Vijay (INDIA),2010-2015,9,1, 2.00 ,0,9,0,0,0,4.5,0,0,0
1345,V Vijh (LUX),2019-2019,4,3, 7.50 ,0,72,0,0,0,9.19,0,0,0
1346,Vimal Kumar (PHI),2019-2019,2,1, 3.00 ,0,32,0,0,0,10.66,0,0,0
1347,MN Waller (ZIM),2011-2018,32,3, 5.00 ,0,42,0,0,0,8.4,0,0,0
1348,Waqas Ali (Belg),2019-2019,2,1, 1.00 ,0,9,0,0,0,9,0,0,0
1349,Waqas Khan (HKG),2014-2017,8,1, 1.00 ,0,12,0,0,0,12,0,0,0
1350,Waqas Raja (Fin),2019-2019,1,1, 1.00 ,0,9,0,0,0,9,0,0,0
1351,Wasim Ali (OMAN),2019-2019,1,1, 2.00 ,0,16,0,0,0,8,0,0,0
1352,JW Wilson (NZ),2005-2005,1,1, 4.00 ,0,43,0,0,0,10.75,0,0,0
1353,Yasir Shah (PAK),2011-2011,2,2, 4.00 ,0,39,0,0,0,9.75,0,0,0
1354,N Yordanov (),2019-2019,2,1, 3.00 ,0,20,0,0,0,6.66,0,0,0
1355,Zeeshan Abbas (BAH),2019-2019,1,1, 4.00 ,0,20,0,0,0,5,0,0,0
1356,Aamer Ikram (PORT),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1357,Aarif Sheikh (NEPAL),2018-2019,11,0, -   ,0,0,0,0,0,0,0,0,0
1358,Z Abbasi (Botsw),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1359,Abbas Saad (Saudi),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1360,Abdul Rashid (Belg),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1361,Abdul Shakoor (UAE),2015-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1362,Abdul Shakoor (ROM),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1363,Abraash Khan (CAN),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1364,Abrar Bilal (Aut),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1365,F Achelam (UGA),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1366,Abdul Hashmi (DEN),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1367,Adil Hanif (BAH),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1368,Adnan Ilyas (OMAN),2015-2016,12,0, -   ,0,0,0,0,0,0,0,0,0
1369,Adnan Mufti (UAE),2017-2017,1,0, -   ,0,0,0,0,0,0,0,0,0
1370,Afsar Zazai (AFG),2013-2013,1,0, -   ,0,0,0,0,0,0,0,0,0
1371,P Agnihotri (NOR),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1372,RI Ahmed (NL),2015-2015,2,0, -   ,0,0,0,0,0,0,0,0,0
1373,Ahmed Faiz (MAL),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1374,Ahsan Abbasi (HKG),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1375,KK Ahuja (Mex),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1376,Ainool Hafizs (MAL),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1377,Ainool Haqqiem (MAL),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1378,PS Airee (NEPAL),2015-2019,11,0, -   ,0,0,0,0,0,0,0,0,0
1379,C Akyuz (TKY),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1380,Ali Ivan (Mald),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1381,HS Alta (TKY),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1382,TR Ambrose (ENG),2008-2008,1,0, -   ,0,0,0,0,0,0,0,0,0
1383,Amjad Ali (UAE),2014-2015,5,0, -   ,0,0,0,0,0,0,0,0,0
1384,Amjad Khan (UAE),2015-2016,4,0, -   ,0,0,0,0,0,0,0,0,0
1385,HM Amla (SA/World),2009-2018,44,0, -   ,0,0,0,0,0,0,0,0,0
1386,Anamul Haque (BDESH),2012-2015,13,0, -   ,0,0,0,0,0,0,0,0,0
1387,Anam Mollik (ITA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1388,Anas Khan (HKG),2014-2014,1,0, -   ,0,0,0,0,0,0,0,0,0
1389,A Anemogiannis (),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1390,B Angeltti (Arg),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1391,Anwar Arudin (MAL),2019-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1392,SE Aquilina (MALTA),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1393,Areeb Quadir (Fin),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1394,Z Arinaitwe (UGA),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1395,Aritra Dutta (SGP),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1396,RP Arnold (SL),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1397,P Arora (Mex),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1398,Arsalan Arif (Aut),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1399,Arslan Ahmed (PORT),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1400,Asad Shafiq (PAK),2010-2012,10,0, -   ,0,0,0,0,0,0,0,0,0
1401,Asif Ali (PAK),2018-2019,25,0, -   ,0,0,0,0,0,0,0,0,0
1402,Aslam Mohammad (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1403,SK Atai (PNG),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1404,MS Atapattu (SL),2006-2006,2,0, -   ,0,0,0,0,0,0,0,0,0
1405,S Ateak (Ghana),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1406,JJ Atkinson (HKG),2014-2016,13,0, -   ,0,0,0,0,0,0,0,0,0
1407,Awais Ahmed (ESP),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1408,Awais Zia (PAK),2012-2014,5,0, -   ,0,0,0,0,0,0,0,0,0
1409,AJ Ayannaike (NGA),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1410,Azyan Farhath (Mald),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1411,F Baaleri (Ghana),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1412,SJ Baard (NAM),2019-2019,13,0, -   ,0,0,0,0,0,0,0,0,0
1413,Babar Azam (PAK),2016-2019,36,0, -   ,0,0,0,0,0,0,0,0,0
1414,Babar Hayat (HKG),2014-2017,24,0, -   ,0,0,0,0,0,0,0,0,0
1415,S Badrinath (INDIA),2011-2011,1,0, -   ,0,0,0,0,0,0,0,0,0
1416,A Bagai (CAN),2008-2013,9,0, -   ,0,0,0,0,0,0,0,0,0
1417,GJ Bailey (AUS/World),2012-2017,30,0, -   ,0,0,0,0,0,0,0,0,0
1418,JM Bairstow (ENG),2011-2019,34,0, -   ,0,0,0,0,0,0,0,0,0
1419,R Bakum (Ghana),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1420,V Balakrishnan (Botsw),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1421,A Balbirnie (IRE),2015-2019,37,0, -   ,0,0,0,0,0,0,0,0,0
1422,CT Bancroft (AUS),2016-2016,1,0, -   ,0,0,0,0,0,0,0,0,0
1423,B Banerjee (Mex),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1424,T Banton (ENG),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1425,AB Barath (WI),2010-2011,2,0, -   ,0,0,0,0,0,0,0,0,0
1426,J Barker (LUX),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1427,LJ Barker (GUE),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1428,TC Barker (LUX),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1429,P Baron (Arg),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1430,MC Bascombe (WI),2011-2011,1,0, -   ,0,0,0,0,0,0,0,0,0
1431,O Bascome (BMUDA),2019-2019,11,0, -   ,0,0,0,0,0,0,0,0,0
1432,OO Bascome (BMUDA),2008-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1433,TC Bastiampillai (CAN),2010-2010,2,0, -   ,0,0,0,0,0,0,0,0,0
1434,D Bau (PNG),2017-2017,1,0, -   ,0,0,0,0,0,0,0,0,0
1435,CS Baugh (WI),2008-2012,3,0, -   ,0,0,0,0,0,0,0,0,0
1436,T Bavuma (SA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1437,IR Bell (ENG),2006-2014,8,0, -   ,0,0,0,0,0,0,0,0,0
1438,A Bhagwat (HKG),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1439,B Bhandari (NEPAL),2014-2019,27,0, -   ,0,0,0,0,0,0,0,0,0
1440,M Bhanuka (SL),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1441,TS Bharaj (DEN),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1442,RA Bhatti (CAN),2012-2012,4,0, -   ,0,0,0,0,0,0,0,0,0
1443,MP Biddappa (PHI),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1444,Bilal Ahmed (Serb),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1445,Bilal Tahir (KUW),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1446,IS Billcliff (CAN),2010-2010,2,0, -   ,0,0,0,0,0,0,0,0,0
1447,SW Billings (ENG/ICC),2015-2019,26,0, -   ,0,0,0,0,0,0,0,0,0
1448,K Birkenstock (NAM),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1449,TR Birt (AUS),2010-2012,4,0, -   ,0,0,0,0,0,0,0,0,0
1450,C Bisson (JER),2019-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1451,AM Blignaut (ZIM),2010-2010,1,0, -   ,0,0,0,0,0,0,0,0,0
1452,TA Blundell (NZ),2017-2018,3,0, -   ,0,0,0,0,0,0,0,0,0
1453,GH Bodi (SA),2007-2007,1,0, -   ,0,0,0,0,0,0,0,0,0
1454,LE Bosman (SA),2006-2010,14,0, -   ,0,0,0,0,0,0,0,0,0
1455,MV Boucher (SA),2005-2010,25,0, -   ,0,0,0,0,0,0,0,0,0
1456,DM Bravo (WI),2010-2019,20,0, -   ,0,0,0,0,0,0,0,0,0
1457,JP Bray (IRE),2009-2009,2,0, -   ,0,0,0,0,0,0,0,0,0
1458,NT Broom (NZ),2009-2017,11,0, -   ,0,0,0,0,0,0,0,0,0
1459,DG Brownlie (NZ),2010-2014,5,0, -   ,0,0,0,0,0,0,0,0,0
1460,TC Bruce (NZ),2017-2019,15,0, -   ,0,0,0,0,0,0,0,0,0
1461,NB Budayair (NEPAL),2014-2014,4,0, -   ,0,0,0,0,0,0,0,0,0
1462,DE Budge (SCOT),2018-2018,6,0, -   ,0,0,0,0,0,0,0,0,0
1463,A Bulow (DEN),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1464,JC Buttler (ENG),2011-2018,66,0, -   ,0,0,0,0,0,0,0,0,0
1465,AF Buurman (NL),2010-2010,4,0, -   ,0,0,0,0,0,0,0,0,0
1466,S Byrne (MALTA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1467,G Caisley (),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1468,MA Carberry (ENG),2014-2014,1,0, -   ,0,0,0,0,0,0,0,0,0
1469,AT Carey (AUS),2018-2019,25,0, -   ,0,0,0,0,0,0,0,0,0
1470,C Carter (HKG),2015-2017,10,0, -   ,0,0,0,0,0,0,0,0,0
1471,T Caruana (GIBR),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1472,D Cato (Caym),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1473,JJ Celestine (BMUDA),2008-2008,3,0, -   ,0,0,0,0,0,0,0,0,0
1474,RW Chakabva (ZIM),2008-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1475,S Chanderpaul (WI),2006-2010,22,0, -   ,0,0,0,0,0,0,0,0,0
1476,LD Chandimal (SL),2010-2018,54,0, -   ,0,0,0,0,0,0,0,0,0
1477,VD Chandra (PNM),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1478,S Chandramohan (SGP),2019-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1479,BB Chari (ZIM),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1480,J Charles (WI),2011-2016,34,0, -   ,0,0,0,0,0,0,0,0,0
1481,G Chaturvedi (MALTA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1482,N Chejay (BHU),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1483,C Chete (MWI),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1484,VB Chikkannaiah (GER),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1485,Chirag Suri (UAE),2018-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1486,S Chophel (BHU),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1487,DO Christian (WI),2011-2011,2,0, -   ,0,0,0,0,0,0,0,0,0
1488,I Civric (Serb),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1489,GL Cloete (SA),2018-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1490,FRJ Coleman (SCOT),2013-2013,1,0, -   ,0,0,0,0,0,0,0,0,0
1491,LA Collado (GIBR),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1492,NG Collins (Fin),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1493,AN Cook (ENG),2007-2009,4,0, -   ,0,0,0,0,0,0,0,0,0
1494,BN Cooper (NL),2013-2019,51,0, -   ,0,0,0,0,0,0,0,0,0
1495,SJ Cotter (Samoa),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1496,CK Coventry (ZIM),2010-2015,13,0, -   ,0,0,0,0,0,0,0,0,0
1497,MH Cross (SCOT),2013-2019,43,0, -   ,0,0,0,0,0,0,0,0,0
1498,DDP D'Silva (UAE),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1499,D Daesrath (CAN),2013-2013,1,0, -   ,0,0,0,0,0,0,0,0,0
1500,S Dalton (CZK-R),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1501,P Danci (ROM),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1502,RR David (CAN),2008-2008,4,0, -   ,0,0,0,0,0,0,0,0,0
1503,SM Davies (ENG),2009-2011,5,0, -   ,0,0,0,0,0,0,0,0,0
1504,N Davin (NAM),2019-2019,16,0, -   ,0,0,0,0,0,0,0,0,0
1505,TB de Bruyn (SA),2017-2017,2,0, -   ,0,0,0,0,0,0,0,0,0
1506,TN de Grooth (NL),2008-2013,15,0, -   ,0,0,0,0,0,0,0,0,0
1507,Q de Kock (SA),2012-2019,38,0, -   ,0,0,0,0,0,0,0,0,0
1508,CJ Delany (GIBR),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1509,D de la Puente (Peru),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1510,SI de Saram (SL),2009-2009,1,0, -   ,0,0,0,0,0,0,0,0,0
1511,AB de Villiers (SA),2006-2017,78,0, -   ,0,0,0,0,0,0,0,0,0
1512,S Dhawan (INDIA),2011-2019,58,0, -   ,0,0,0,0,0,0,0,0,0
1513,Dhiman Ghosh (BDESH),2008-2008,1,0, -   ,0,0,0,0,0,0,0,0,0
1514,MS Dhoni (INDIA),2006-2019,98,0, -   ,0,0,0,0,0,0,0,0,0
1515,N Dickwella (SL),2016-2019,23,0, -   ,0,0,0,0,0,0,0,0,0
1516,V Dikov (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1517,HH Dippenaar (SA),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1518,K Doriga (PNG),2019-2019,17,0, -   ,0,0,0,0,0,0,0,0,0
1519,JN Dorji (BHU),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1520,RM Dorji (BHU),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1521,U Dorji (BHU),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1522,TM Dowlin (WI),2009-2010,2,0, -   ,0,0,0,0,0,0,0,0,0
1523,R Dravid (INDIA),2011-2011,1,0, -   ,0,0,0,0,0,0,0,0,0
1524,BM Duckett (ENG),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1525,LA Dunbar (Serb),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1526,JSE Dunford (JER),2019-2019,17,0, -   ,0,0,0,0,0,0,0,0,0
1527,BR Dunk (AUS),2014-2017,5,0, -   ,0,0,0,0,0,0,0,0,0
1528,J Dunn (VAN),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1529,G Dutta (Mex),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1530,J Edness (BMUDA),2008-2008,3,0, -   ,0,0,0,0,0,0,0,0,0
1531,SA Edwards (NL),2018-2019,29,0, -   ,0,0,0,0,0,0,0,0,0
1532,L Emilio (Moz),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1533,C Emmott (Chile),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1534,CR Ervine (ZIM),2010-2019,22,0, -   ,0,0,0,0,0,0,0,0,0
1535,R Escobar (Arg),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1536,Fahad Ali (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1537,Faisal Javed (QAT),2019-2019,15,0, -   ,0,0,0,0,0,0,0,0,0
1538,Faizan Asif (UAE),2014-2015,6,0, -   ,0,0,0,0,0,0,0,0,0
1539,LB Ferbrache (GUE),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1540,A Ferguson (Arg),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1541,CJ Ferguson (AUS),2009-2009,3,0, -   ,0,0,0,0,0,0,0,0,0
1542,BOP Fernando (SL),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1543,WIA Fernando (SL),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1544,NJ Ferraby (JER),2019-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1545,Fiaz Ahmed (BAH),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1546,Fida Hussain (ITA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1547,SE Findlay (WI),2008-2008,2,0, -   ,0,0,0,0,0,0,0,0,0
1548,R Flannigan (SCOT),2012-2012,4,0, -   ,0,0,0,0,0,0,0,0,0
