ID,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1115,AK Muslar (Blz),2019-2019,3,3,0,22,13,7.33,27,81.48,0,0,1,1,2
1116,DP Nannes (AUS/NL),2009-2010,17,5,3,22,12*,11,18,122.22,0,0,0,1,1
1117,FL Reifer (WI),2009-2009,1,1,0,22,22,22,20,110,0,0,0,2,1
1118,Umair Ali (UAE),2015-2015,3,3,2,22,13,22,18,122.22,0,0,0,2,1
1119,Abdullah Akbarjan (Aut),2019-2019,5,1,0,21,21,21,17,123.52,0,0,0,3,0
1120,Anas Khan (HKG),2014-2014,1,1,1,21,21*,-,28,75,0,0,0,2,0
1121,SE Bond (NZ),2005-2010,20,8,3,21,8*,4.2,21,100,0,0,2,2,0
1122,BB Chari (ZIM),2019-2019,3,3,0,21,19,7,31,67.74,0,0,1,4,0
1123,MR Gillespie (NZ),2006-2008,11,6,4,21,7,10.5,29,72.41,0,0,0,0,0
1124,L Gregory (ENG),2019-2019,5,3,0,21,15,7,19,110.52,0,0,1,0,2
1125,Imam-ul-Haq (PAK),2019-2019,2,2,0,21,14,10.5,25,84,0,0,0,2,0
1126,Kamran Shazad (UAE),2014-2014,3,2,0,21,21,10.5,17,123.52,0,0,1,1,2
1127,Karweng NG (PHI),2019-2019,4,3,0,21,14,7,30,70,0,0,0,0,1
1128,LD Madushanka (SL),2019-2019,2,2,0,21,20,10.5,26,80.76,0,0,0,1,0
1129,C Mahoney (Peru),2019-2019,3,1,0,21,21,21,27,77.77,0,0,0,1,0
1130,AF Milne (NZ),2010-2018,21,8,8,21,10*,-,23,91.3,0,0,0,1,0
1131,Mohammad Sami (PAK),2010-2016,13,4,3,21,8,21,30,70,0,0,0,2,0
1132,S Murari (CRC),2019-2019,3,3,1,21,16,10.5,20,105,0,0,0,2,0
1133,Rony Talukdar (BDESH),2015-2015,1,1,0,21,21,21,22,95.45,0,0,0,0,1
1134,Shoaib Akhtar (PAK),2006-2010,15,6,3,21,8*,7,16,131.25,0,0,1,2,1
1135,SJS Smith (SCOT),2010-2012,5,4,1,21,9,7,40,52.5,0,0,1,1,0
1136,SF Tiai (Samoa),2019-2019,4,3,0,21,11,7,22,95.45,0,0,1,2,0
1137,E Ul Haq (NOR),2019-2019,5,5,0,21,10,4.2,36,58.33,0,0,0,2,0
1138,Ainool Haqqiem (MAL),2019-2019,4,2,1,20,12,20,20,100,0,0,0,1,0
1139,RL Bhudia (KENYA),2007-2007,3,3,1,20,11*,10,20,100,0,0,1,0,2
1140,KK Flowers (Blz),2019-2019,3,3,1,20,17,10,33,60.6,0,0,1,3,0
1141,Z Groenewald (NAM),2019-2019,10,4,1,20,13,6.66,35,57.14,0,0,0,0,0
1142,DL Hemp (BMUDA),2008-2008,2,2,0,20,20,10,32,62.5,0,0,1,2,1
1143,Kuldeep Yadav (INDIA),2017-2019,19,2,1,20,16,20,20,100,0,0,0,2,0
1144,MJ North (AUS),2009-2009,1,1,0,20,20,20,21,95.23,0,0,0,1,0
1145,N Pokana (PNG),2016-2019,19,7,5,20,8*,10,28,71.42,0,0,0,0,0
1146,JRMVB Sanjaya (SL),2017-2017,8,5,2,20,6,6.66,18,111.11,0,0,0,3,0
1147,JOP Scamans (Fin),2019-2019,2,2,1,20,12*,20,19,105.26,0,0,0,1,0
1148,S Sreesanth (INDIA),2006-2008,10,3,2,20,19*,20,14,142.85,0,0,1,4,0
1149,A Uniyal (Chile),2019-2019,3,3,1,20,16*,10,24,83.33,0,0,0,2,0
1150,C Waiswa (UGA),2019-2019,4,2,1,20,14*,20,14,142.85,0,0,0,1,1
1151,Aziz Mohammad (Belg),2019-2019,3,3,1,19,19,9.5,25,76,0,0,1,0,2
1152,Bilal Ahmed (Serb),2019-2019,1,1,0,19,19,19,28,67.85,0,0,0,1,1
1153,CJ Dala (SA),2018-2019,9,4,3,19,12*,19,28,67.85,0,0,0,1,0
1154,Fahad Tariq (UAE),2016-2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1
1155,Ibrahim Hassan (Mald),2019-2019,11,7,2,19,12*,3.8,41,46.34,0,0,3,0,0
1156,Imran Haider (ROM),2019-2019,2,2,0,19,15,9.5,26,73.07,0,0,0,2,1
1157,Imran Tahir (SA/World),2013-2019,38,4,3,19,9*,19,18,105.55,0,0,0,1,1
1158,Irfan Mir (Chile),2019-2019,4,3,2,19,18*,19,7,271.42,0,0,1,0,2
1159,Jaspreet Singh (ITA),2019-2019,5,2,0,19,11,9.5,23,82.6,0,0,0,1,0
1160,Junaid Sheikh (NOR),2019-2019,5,3,0,19,9,6.33,20,95,0,0,0,1,1
1161,HGJM Kulatunga (SL),2008-2008,2,2,0,19,11,9.5,38,50,0,0,0,0,0
1162,CJ McKay (AUS),2010-2013,6,4,2,19,7,9.5,22,86.36,0,0,1,1,1
1163,Mohammad Ahsan (KUW),2019-2019,6,3,0,19,8,6.33,20,95,0,0,0,0,1
1164,Muktar Ali (BDESH),2016-2016,1,1,1,19,19*,-,15,126.66,0,0,0,1,1
1165,SN Netravalkar (USA),2019-2019,8,2,1,19,12,19,15,126.66,0,0,0,1,1
1166,HM Nicholls (NZ),2016-2019,5,4,0,19,7,4.75,28,67.85,0,0,0,2,0
1167,AE Paraam (SGP),2019-2019,3,2,1,19,10,19,10,190,0,0,0,2,1
1168,AM Phangiso (SA),2012-2018,16,3,0,19,13,6.33,29,65.51,0,0,0,1,0
1169,RLB Rambukwella (SL),2013-2016,2,1,0,19,19,19,16,118.75,0,0,0,1,1
1170,SV Samson (INDIA),2015-2015,1,1,0,19,19,19,24,79.16,0,0,0,1,0
1171,L Shafeeg (Mald),2019-2019,3,1,1,19,19*,-,11,172.72,0,0,0,2,1
1172,Sufyan Mehmood (OMAN),2015-2019,3,2,1,19,13*,19,41,46.34,0,0,0,2,0
1173,KOK Williams (WI),2016-2019,24,7,4,19,13*,6.33,17,111.76,0,0,1,1,1
1174,N Yordanov (),2019-2019,2,2,1,19,19*,19,11,172.72,0,0,1,0,2
1175,JD Baker (Samoa),2019-2019,4,3,3,18,11*,-,14,128.57,0,0,0,3,0
1176,V Baskaran (SGP),2019-2019,12,5,3,18,14*,9,23,78.26,0,0,1,0,0
1177,Bilal Khan (OMAN),2015-2019,32,10,7,18,6*,6,28,64.28,0,0,2,1,0
1178,LA Collado (GIBR),2019-2019,4,3,2,18,8,18,34,52.94,0,0,0,0,0
1179,LHD Dilhara (SL),2008-2008,2,1,1,18,18*,-,9,200,0,0,0,0,1
1180,XJ Doherty (AUS),2012-2013,11,4,3,18,9*,18,17,105.88,0,0,0,1,0
1181,BE Hendricks (SA),2014-2019,11,3,1,18,12*,9,21,85.71,0,0,0,0,1
1182,Khurram Chohan (CAN),2010-2010,4,4,2,18,8,9,14,128.57,0,0,0,1,1
1183,JB Little (IRE),2016-2019,11,6,2,18,7,4.5,16,112.5,0,0,2,3,0
1184,AK Markram (SA),2019-2019,2,2,0,18,15,9,17,105.88,0,0,0,1,1
1185,SW Masakadza (ZIM),2010-2013,7,5,1,18,9,4.5,24,75,0,0,1,1,0
1186,Nauman Anwar (PAK),2015-2015,1,1,0,18,18,18,10,180,0,0,0,2,1
1187,Naved-ul-Hasan (PAK),2006-2010,4,2,1,18,17*,18,16,112.5,0,0,0,0,2
1188,Nazmul Islam (BDESH),2018-2018,13,4,3,18,7,18,17,105.88,0,0,0,2,0
1189,D Nikolov (),2019-2019,3,2,0,18,13,9,33,54.54,0,0,0,2,0
1190,Raza Hasan (PAK),2012-2014,10,4,4,18,13*,-,25,72,0,0,0,2,0
1191,PADLR Sandakan (SL),2017-2019,14,4,2,18,10,9,24,75,0,0,0,2,0
1192,S Snater (NL),2018-2019,13,6,1,18,10,3.6,16,112.5,0,0,2,0,1
1193,S Thuraisingam (CAN),2008-2008,3,2,1,18,15,18,24,75,0,0,0,1,0
1194,JW Wilson (NZ),2005-2005,1,1,0,18,18,18,14,128.57,0,0,0,2,0
1195,HN Ya France (NAM),2019-2019,6,3,0,18,13,6,20,90,0,0,1,1,1
1196,TL Best (WI),2013-2014,6,1,1,17,17*,-,9,188.88,0,0,0,0,2
1197,D Bishoo (WI),2011-2019,7,4,2,17,8,8.5,29,58.62,0,0,1,2,0
1198,TA Blundell (NZ),2017-2018,3,2,1,17,14,17,21,80.95,0,0,0,0,0
1199,LA Dawson (ENG),2016-2018,6,2,1,17,10,17,8,212.5,0,0,0,2,1
1200,RR Emrit (WI),2018-2018,4,3,0,17,11,5.66,27,62.96,0,0,0,0,1
1201,D Gim (NGA),2019-2019,6,4,2,17,9*,8.5,32,53.12,0,0,1,0,0
1202,S Kizilkaya (TKY),2019-2019,4,4,0,17,8,4.25,28,60.71,0,0,1,3,0
1203,L Louwrens (NAM),2019-2019,1,1,1,17,17*,-,15,113.33,0,0,0,1,1
1204,JH Mensah (Ghana),2019-2019,2,2,0,17,16,8.5,10,170,0,0,0,1,1
1205,LN Onyango (KENYA),2007-2010,5,4,2,17,5,8.5,21,80.95,0,0,0,0,0
1206,TK Patel (USA),2019-2019,7,3,3,17,14*,-,18,94.44,0,0,0,1,0
1207,K Pierre (WI),2018-2019,8,4,2,17,9*,8.5,23,73.91,0,0,0,2,0
1208,Rubel Hossain (BDESH),2009-2018,27,14,9,17,8*,3.4,30,56.66,0,0,4,1,0
1209,GR Russ (PHI),2019-2019,3,2,1,17,10,17,29,58.62,0,0,0,0,0
1210,SE Rutherford (WI),2018-2019,3,3,0,17,9,5.66,23,73.91,0,0,0,1,0
1211,Shafraz Jaleel (Mald),2019-2019,4,3,0,17,17,5.66,14,121.42,0,0,2,1,1
1212,JR Singleton (),2019-2019,3,3,0,17,7,5.66,26,65.38,0,0,0,3,0
1213,T Singye (BHU),2019-2019,2,2,0,17,11,8.5,25,68,0,0,0,2,0
1214,OR Willis (Caym),2019-2019,3,3,0,17,15,5.66,32,53.12,0,0,0,0,1
1215,Zain ul Tashnam (CRC),2019-2019,3,2,1,17,11,17,26,65.38,0,0,0,1,0
1216,IKO Aboagye (Ghana),2019-2019,4,4,0,16,7,4,37,43.24,0,0,1,0,0
1217,A Ahmadhel (),2019-2019,3,2,0,16,15,8,16,100,0,0,0,2,0
1218,P Arrighi (Arg),2019-2019,5,4,0,16,11,4,46,34.78,0,0,1,0,0
1219,J Barker (LUX),2019-2019,4,2,0,16,16,8,16,100,0,0,1,3,0
1220,KK Bishnoi (),2019-2019,3,2,1,16,14,16,18,88.88,0,0,0,1,0
1221,M Chauhan (Fin),2019-2019,2,2,0,16,15,8,8,200,0,0,0,0,2
1222,U Dorji (BHU),2019-2019,2,2,0,16,8,8,17,94.11,0,0,0,2,0
1223,CJ Ferguson (AUS),2009-2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0
1224,LF Goncalves (),2019-2019,3,2,0,16,13,8,21,76.19,0,0,0,1,0
1225,EH Hutchinson (USA),2019-2019,2,1,0,16,16,16,8,200,0,0,0,3,0
1226,LS Livingstone (ENG),2017-2017,2,2,0,16,16,8,19,84.21,0,0,1,1,0
1227,Mehrab Hossain jnr (BDESH),2008-2009,2,2,1,16,10,16,25,64,0,0,0,1,0
1228,K Modise (Botsw),2019-2019,3,3,0,16,10,5.33,16,100,0,0,1,2,1
1229,Najmul Hossain Shanto (BDESH),2019-2019,2,2,0,16,11,8,17,94.11,0,0,0,1,0
1230,F Nsubuga (UGA),2019-2019,3,3,1,16,9,8,15,106.66,0,0,0,0,2
1231,JB Reva (PNG),2015-2019,9,4,0,16,7,4,22,72.72,0,0,0,1,1
1232,BJ Rohrer (AUS),2013-2013,1,1,0,16,16,16,14,114.28,0,0,0,0,1
1233,EHSN Silva (UAE),2014-2014,2,2,1,16,13*,16,22,72.72,0,0,0,1,0
1234,DW Steyn (SA),2007-2019,44,10,5,16,5,3.2,23,69.56,0,0,1,1,0
1235,Aamer Yamin (PAK),2015-2018,2,1,1,15,15*,-,6,250,0,0,0,1,1
1236,AB Agarkar (INDIA),2006-2007,4,2,0,15,14,7.5,11,136.36,0,0,0,2,0
1237,Anowarul Islam (THAI),2019-2019,4,4,0,15,9,3.75,20,75,0,0,1,1,1
1238,NW Bracken (AUS),2006-2009,19,6,3,15,4*,5,22,68.18,0,0,1,1,0
1239,TL Chatara (ZIM),2010-2019,21,3,0,15,8,5,18,83.33,0,0,1,1,0
1240,K Christie (HKG),2019-2019,11,4,2,15,11*,7.5,20,75,0,0,0,0,0
1241,GL Cloete (SA),2018-2019,2,2,0,15,13,7.5,15,100,0,0,0,2,0
1242,SS Cottrell (WI),2014-2019,22,7,4,15,4*,5,22,68.18,0,0,1,2,0
1243,N Dutta (CAN),2019-2019,11,3,2,15,12,15,13,115.38,0,0,0,1,0
1244,KR Ebanks (Caym),2019-2019,5,4,0,15,8,3.75,27,55.55,0,0,1,1,0
1245,J Hill (PHI),2019-2019,4,3,0,15,6,5,20,75,0,0,0,3,0
1246,E Katchay (CAN),2008-2008,4,3,2,15,8*,15,25,60,0,0,1,0,0
1247,AC Kose (TKY),2019-2019,4,4,0,15,15,3.75,33,45.45,0,0,3,3,0
1248,Nasrulla Rana (HKG),2019-2019,8,4,2,15,7,7.5,24,62.5,0,0,1,0,0
1249,RN Patel (KENYA),2019-2019,2,2,1,15,15*,15,25,60,0,0,1,1,0
1250,LA Pomersbach (AUS),2007-2007,1,1,0,15,15,15,7,214.28,0,0,0,1,1
1251,RW Price (ZIM),2008-2012,16,9,4,15,7*,3,28,53.57,0,0,1,1,0
1252,Shabir Noori (AFG),2012-2012,1,1,0,15,15,15,18,83.33,0,0,0,1,0
1253,J Smits (NL),2008-2009,6,2,1,15,11*,15,27,55.55,0,0,0,0,0
1254,AO Suji (KENYA),2007-2010,8,5,2,15,7,5,29,51.72,0,0,0,0,0
1255,MK Tiwary (INDIA),2011-2012,3,1,0,15,15,15,17,88.23,0,0,0,0,0
1256,Usama Master (MWI),2019-2019,6,2,0,15,15,7.5,13,115.38,0,0,1,1,0
1257,JDF Vandersay (SL),2015-2019,10,7,6,15,8*,15,17,88.23,0,0,0,2,0
1258,VB van Jaarsveld (SA),2009-2009,3,3,0,15,12,5,23,65.21,0,0,1,0,0
1259,Vikramjit Singh (NL),2019-2019,1,1,0,15,15,15,13,115.38,0,0,0,1,0
1260,Abul Hasan (BDESH),2012-2018,5,2,0,14,9,7,11,127.27,0,0,0,2,0
1261,CM Akachukwu (NGA),2019-2019,8,5,3,14,8,7,15,93.33,0,0,0,0,1
1262,Aminul Islam (BDESH),2019-2019,4,3,2,14,9,14,14,100,0,0,0,2,0
1263,Aqib Iqbal (Aut),2019-2019,5,1,0,14,14,14,6,233.33,0,0,0,0,1
1264,SG Borthwick (ENG),2011-2011,1,1,0,14,14,14,16,87.5,0,0,0,2,0
1265,G Dutta (Mex),2019-2019,7,6,0,14,8,2.33,28,50,0,0,3,1,0
1266,ST Finn (ENG),2011-2015,21,3,3,14,8*,-,19,73.68,0,0,0,1,0
1267,Ibrahim Zadran (AFG),2019-2019,3,3,0,14,11,4.66,26,53.84,0,0,0,0,1
1268,P Jayeshbhai Patel (PNM),2019-2019,2,2,1,14,8*,14,11,127.27,0,0,0,0,0
1269,T Langa (VAN),2019-2019,1,1,0,14,14,14,9,155.55,0,0,0,2,0
1270,JAH Marshall (NZ),2005-2008,3,2,0,14,13,7,15,93.33,0,0,0,2,0
1271,JWN Moses (Botsw),2019-2019,3,3,0,14,9,4.66,20,70,0,0,0,0,1
1272,N Nankov (),2019-2019,3,2,1,14,14,14,20,70,0,0,0,1,0
1273,AN Petersen (SA),2010-2010,2,2,0,14,8,7,19,73.68,0,0,0,1,0
1274,VD Philander (SA),2007-2007,7,4,0,14,6,3.5,28,50,0,0,0,0,0
1275,S Pillai (CRC),2019-2019,3,3,0,14,6,4.66,27,51.85,0,0,0,1,0
1276,C Prasad (CRC),2019-2019,3,3,1,14,11,7,29,48.27,0,0,1,1,0
1277,Rakibul Hasan (ITA),2019-2019,8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0
1278,Ravinder Singh (MALTA),2019-2019,2,2,0,14,8,7,13,107.69,0,0,0,0,1
1279,Saqlain Haider (UAE),2016-2016,6,5,1,14,7,3.5,35,40,0,0,0,0,0
1280,Shahzad Muhammad (Mex),2019-2019,2,1,0,14,14,14,7,200,0,0,0,1,1
1281,S Smith (BMUDA),2019-2019,5,3,3,14,7*,-,27,51.85,0,0,0,0,0
1282,S Varathappan (KUW),2019-2019,3,3,0,14,9,4.66,14,100,0,0,1,3,0
1283,VS Wategaonkar (OMAN),2016-2016,2,1,0,14,14,14,14,100,0,0,0,1,0
1284,T Whiteman (LUX),2019-2019,4,2,1,14,14*,14,10,140,0,0,1,0,1
1285,CM Wright (SCOT),2007-2009,3,1,0,14,14,14,18,77.77,0,0,0,0,0
1286,Abdullah Sheikh (NOR),2019-2019,2,2,0,13,11,6.5,18,72.22,0,0,0,1,0
1287,AR Adams (NZ),2005-2006,4,2,1,13,7,13,12,108.33,0,0,0,1,0
1288,M Cope (LUX),2019-2019,2,2,1,13,13,13,15,86.66,0,0,0,2,0
1289,J Edness (BMUDA),2008-2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0
1290,JA Fitzgerald (GIBR),2019-2019,4,2,2,13,11*,-,10,130,0,0,0,0,1
1291,CR Foggo (BMUDA),2008-2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0
1292,SP Gauchan (NEPAL),2014-2015,9,5,2,13,6*,4.33,43,30.23,0,0,2,0,0
1293,PA Hitchcock (NZ),2008-2008,1,1,0,13,13,13,11,118.18,0,0,0,1,1
1294,SHT Kandamby (SL),2008-2011,5,4,0,13,10,3.25,21,61.9,0,0,1,0,0
1295,SKW Kelly (BMUDA),2008-2008,3,2,2,13,11*,-,24,54.16,0,0,0,0,0
1296,Z Khan (INDIA),2006-2012,17,4,2,13,9,6.5,10,130,0,0,0,0,1
1297,Lucky Ali (DEN),2019-2019,2,2,0,13,7,6.5,18,72.22,0,0,0,1,0
1298,JL Martel (GUE),2019-2019,3,1,1,13,13*,-,6,216.66,0,0,0,1,1
1299,J Mees (LUX),2019-2019,3,3,2,13,7*,13,20,65,0,0,0,1,0
1300,Mohammad Nawaz (3) (PAK),2016-2018,16,2,0,13,7,6.5,20,65,0,0,0,1,0
1301,Mohammad Rafique (BDESH),2006-2006,1,1,0,13,13,13,5,260,0,0,0,3,0
1302,Muhammad Hamayun (Saudi),2019-2019,4,2,0,13,8,6.5,10,130,0,0,0,1,1
1303,HC Overdijk (NL),2018-2019,4,1,0,13,13,13,7,185.71,0,0,0,2,0
1304,CMW Read (ENG),2006-2006,1,1,0,13,13,13,11,118.18,0,0,0,2,0
1305,JA Richardson (AUS),2017-2019,9,3,2,13,7*,13,6,216.66,0,0,1,2,0
1306,OFJ Tonuu (Samoa),2019-2019,4,3,1,13,6*,6.5,18,72.22,0,0,0,0,0
1307,Usman Mushtaq (UAE),2016-2016,3,2,1,13,9,13,24,54.16,0,0,0,1,0
1308,Washeem Abbas (MALTA),2019-2019,2,2,1,13,9*,13,7,185.71,0,0,0,0,1
1309,J Anderson (IRE),2015-2015,4,2,0,12,9,6,18,66.66,0,0,0,1,0
1310,Arslan Ahmed (PORT),2019-2019,3,3,0,12,11,4,32,37.5,0,0,1,1,0
1311,Asad Mohammad (GER),2019-2019,9,4,1,12,5,4,12,100,0,0,0,2,0
1312,Avi Dixit (SGP),2019-2019,1,1,1,12,12*,-,8,150,0,0,0,0,1
1313,HMCM Bandara (SL),2006-2009,4,3,1,12,7,6,15,80,0,0,0,0,0
1314,Fazal Niazai (AFG),2019-2019,1,1,0,12,12,12,15,80,0,0,0,1,0
1315,CJ Gannon (USA),2019-2019,4,3,2,12,7*,12,9,133.33,0,0,0,0,1
1316,R Gaznavi (SGP),2019-2019,2,2,0,12,8,6,12,100,0,0,0,2,0
1317,H Helva (TKY),2019-2019,4,4,0,12,7,3,25,48,0,0,2,2,0
1318,HJH Marshall (NZ),2005-2006,3,3,0,12,8,4,14,85.71,0,0,0,0,0
1319,D Mejia (CRC),2019-2019,3,1,0,12,12,12,10,120,0,0,0,2,0
1320,NV Ojha (INDIA),2010-2010,2,2,0,12,10,6,27,44.44,0,0,0,2,0
1321,A Patel (MWI),2019-2019,2,2,1,12,6*,12,23,52.17,0,0,0,2,0
1322,M Patel (Chile),2019-2019,3,3,0,12,8,4,15,80,0,0,1,1,1
1323,KOA Powell (WI),2014-2014,1,1,0,12,12,12,14,85.71,0,0,0,1,0
1324,Raag Kapur (HKG),2019-2019,4,3,1,12,6,6,16,75,0,0,0,1,0
1325,R Rampaul (WI),2007-2015,23,6,5,12,8,12,21,57.14,0,0,0,0,0
1326,MA Starc (AUS),2012-2019,28,6,2,12,4,3,18,66.66,0,0,0,0,0
1327,Ali Ivan (Mald),2019-2019,1,1,0,11,11,11,39,28.2,0,0,0,0,0
1328,Apon Mustafizur (Serb),2019-2019,2,2,0,11,11,5.5,28,39.28,0,0,1,2,0
1329,Atif Kamal (LUX),2019-2019,4,3,0,11,11,3.66,18,61.11,0,0,2,1,0
1330,A Bulow (DEN),2019-2019,2,1,0,11,11,11,13,84.61,0,0,0,0,1
1331,JD Campbell (WI),2019-2019,2,2,0,11,11,5.5,16,68.75,0,0,1,2,0
1332,A Djorovic (Serb),2019-2019,2,2,0,11,9,5.5,26,42.3,0,0,0,1,0
1333,Fayyaz Ahmed (UAE),2015-2015,1,1,0,11,11,11,12,91.66,0,0,0,2,0
1334,S Goustis (),2019-2019,3,1,0,11,11,11,19,57.89,0,0,0,0,0
1335,AJ Hall (SA),2006-2006,2,1,0,11,11,11,10,110,0,0,0,1,0
1336,Inzamam-ul-Haq (PAK),2006-2006,1,1,1,11,11*,-,15,73.33,0,0,0,0,1
1337,Khurram Manzoor (PAK),2016-2016,3,3,0,11,10,3.66,27,40.74,0,0,1,1,0
1338,KS Lokuarachchi (SL),2012-2012,2,2,0,11,11,5.5,13,84.61,0,0,1,1,0
1339,WK McCallan (IRE),2008-2009,9,3,2,11,9*,11,15,73.33,0,0,1,1,0
1340,OC McCoy (WI),2019-2019,2,2,1,11,10,11,10,110,0,0,0,1,1
1341,Mahedi Hasan (BDESH),2018-2018,1,1,0,11,11,11,11,100,0,0,0,1,0
1342,WJ Malinda (Mald),2019-2019,3,2,1,11,10*,11,9,122.22,0,0,0,0,1
1343,AK Mandal (NEPAL),2015-2015,2,2,0,11,9,5.5,25,44,0,0,0,0,0
1344,D Marks (MALTA),2019-2019,2,2,2,11,6*,-,12,91.66,0,0,0,0,0
1345,BJ McCarthy (IRE),2017-2018,6,3,1,11,11*,5.5,7,157.14,0,0,2,0,1
1346,AA Mulla (CAN),2008-2008,4,4,0,11,8,2.75,19,57.89,0,0,1,2,0
1347,J Reb (Serb),2019-2019,2,2,0,11,9,5.5,14,78.57,0,0,0,1,0
1348,Saqlain Arshad (QAT),2019-2019,2,1,0,11,11,11,10,110,0,0,0,0,1
1349,V Shetty (UAE),2014-2014,2,2,1,11,10,11,13,84.61,0,0,0,1,0
1350,Suresh Kumar (Peru),2019-2019,2,2,1,11,10*,11,15,73.33,0,0,0,0,0
1351,SW Tait (AUS),2007-2016,21,6,2,11,6,2.75,15,73.33,0,0,1,0,1
1352,P Taylor (CZK-R),2019-2019,7,2,1,11,7*,11,9,122.22,0,0,0,1,0
1353,H Thaker (CAN),2019-2019,1,1,0,11,11,11,9,122.22,0,0,0,0,1
1354,TCW Veillard (GUE),2019-2019,4,2,1,11,8,11,17,64.7,0,0,0,0,0
1355,RM West (IRE),2009-2009,5,4,1,11,8,3.66,11,100,0,0,0,1,0
1356,Yasir Shah (PAK),2011-2011,2,1,1,11,11*,-,7,157.14,0,0,0,1,0
1357,Zeshan Arif (Aut),2019-2019,4,1,1,11,11*,-,8,137.5,0,0,0,2,0
1358,Aftab Ahmed (2) (DEN),2019-2019,1,1,0,10,10,10,13,76.92,0,0,0,1,0
1359,R Avery (),2019-2019,4,3,0,10,9,3.33,24,41.66,0,0,1,0,0
1360,CS Baugh (WI),2008-2012,3,3,0,10,7,3.33,12,83.33,0,0,0,1,0
1361,FH Edwards (WI),2007-2012,20,4,2,10,7*,5,9,111.11,0,0,1,1,0
1362,N Pradeep (SL),2016-2019,14,6,5,10,8*,10,15,66.66,0,0,1,1,0
1363,S Hallett (Peru),2019-2019,4,4,0,10,5,2.5,16,62.5,0,0,1,1,0
1364,MJ Henry (NZ),2014-2017,6,2,1,10,10,10,5,200,0,0,0,2,0
1365,S Jyoti (CAN),2008-2008,2,2,1,10,10*,10,20,50,0,0,1,0,0
1366,G Kaltongga (VAN),2019-2019,3,2,0,10,10,5,12,83.33,0,0,1,1,0
1367,RWT Key (ENG),2009-2009,1,1,1,10,10*,-,8,125,0,0,0,0,0
1368,ZE Matsinhe (Moz),2019-2019,7,4,1,10,6*,3.33,17,58.82,0,0,1,0,1
1369,Mohammad Ghazanfar (HKG),2019-2019,5,2,1,10,6*,10,10,100,0,0,0,1,0
1370,S Nerandzic (Serb),2019-2019,2,2,0,10,5,5,33,30.3,0,0,0,1,0
1371,M Ntini (SA),2005-2011,10,4,2,10,5,5,11,90.9,0,0,1,2,0
1372,PP Ojha (INDIA),2009-2010,6,1,1,10,10*,-,6,166.66,0,0,0,0,1
1373,BA Parchment (WI),2007-2007,1,1,0,10,10,10,6,166.66,0,0,0,1,1
1374,SL Perera (Ghana),2019-2019,2,2,0,10,7,5,23,43.47,0,0,0,0,0
1375,P Raho (PNG),2016-2016,2,2,2,10,8*,-,6,166.66,0,0,0,0,1
1376,SHA Rance (NZ),2017-2019,8,3,0,10,8,3.33,21,47.61,0,0,0,0,0
1377,A Rangaswamy (Botsw),2019-2019,4,3,0,10,7,3.33,13,76.92,0,0,1,0,1
1378,D Ravu (PNG),2019-2019,17,4,1,10,6,3.33,9,111.11,0,0,1,1,0
1379,GA Reynold (Blz),2019-2019,3,2,1,10,6*,10,10,100,0,0,0,0,1
1380,ACL Richards (WI),2007-2007,1,1,0,10,10,10,15,66.66,0,0,0,1,0
1381,ZE Surkari (CAN),2008-2008,4,3,0,10,6,3.33,33,30.3,0,0,1,0,0
1382,SR Tendulkar (INDIA),2006-2006,1,1,0,10,10,10,12,83.33,0,0,0,2,0
1383,MA Wood (ENG),2015-2019,5,2,2,10,5*,-,12,83.33,0,0,0,1,0
1384,Zahoor Khan (UAE),2017-2019,18,5,2,10,6,3.33,19,52.63,0,0,0,1,0
1385,Zakir Hasan (BDESH),2018-2018,1,1,0,10,10,10,9,111.11,0,0,0,1,0
1386,Abdul Rashid (Belg),2019-2019,1,1,0,9,9,9,24,37.5,0,0,0,0,0
1387,Afsar Zazai (AFG),2013-2013,1,1,0,9,9,9,21,42.85,0,0,0,0,0
1388,Anam Mollik (ITA),2019-2019,2,1,0,9,9,9,10,90,0,0,0,1,0
1389,P Arora (Mex),2019-2019,2,2,1,9,6*,9,4,225,0,0,0,0,1
1390,HH Banner (Blz),2019-2019,3,2,1,9,6,9,10,90,0,0,0,0,1
1391,JJ Celestine (BMUDA),2008-2008,3,3,0,9,7,3,17,52.94,0,0,1,0,0
1392,FRJ Coleman (SCOT),2013-2013,1,1,0,9,9,9,13,69.23,0,0,0,1,0
1393,BM Duckett (ENG),2019-2019,1,1,0,9,9,9,7,128.57,0,0,0,1,0
1394,Elias Sunny (BDESH),2012-2012,7,4,2,9,5,4.5,9,100,0,0,0,1,0
1395,H Hiri (PNG),2016-2019,5,4,0,9,4,2.25,15,60,0,0,0,0,0
1396,Iqbal Hussain (QAT),2019-2019,15,5,3,9,4*,4.5,10,90,0,0,1,1,0
1397,NA Janes (THAI),2019-2019,2,2,0,9,9,4.5,11,81.81,0,0,1,1,0
